id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2018,minimum_nights,number_of_reviews,reviews_per_month,availability_2019
13261114,Watergraafsmeer,52.35197944632589,4.942654318036687,Entire home/apt,178,,3,4,0.25,0
13262666,Bijlmer-Oost,52.31946953204911,4.964760804,Private room,42,,1,17,0.6,0
13262679,Zuid,52.35280846582696,4.854758154,Private room,90,,2,184,6.24,59
13262950,De Baarsjes - Oud-West,52.37009646199623,4.85685156,Entire home/apt,139,,2,18,0.63,0
13263144,Zuid,52.34720222464584,4.846431949538416,Entire home/apt,128,,2,13,0.43,0
13263353,Westerpark,52.38670499393922,4.875812682037269,Private room,60,,1,5,0.18,0
13266043,De Baarsjes - Oud-West,52.37362787431985,4.856651323007882,Private room,60,,2,5,0.16,0
13266977,Zuid,52.354288509800156,4.853714309169464,Entire home/apt,130,62,5,4,0.15,315
13267952,Westerpark,52.389940811318816,4.885659758351263,Entire home/apt,141,,2,11,0.39,0
13268428,Noord-Oost,52.39558629468618,4.955375193697262,Private room,68,,2,55,1.82,9
13269364,Noord-Oost,52.39368433825244,4.955274494136902,Private room,55,,2,6,0.2,0
13270647,Centrum-Oost,52.36502688116145,4.919621625227586,Entire home/apt,165,359,3,8,0.34,0
13272633,Centrum-Oost,52.366852977868746,4.909393262314861,Private room,167,298,2,71,2.34,350
13277304,IJburg - Zeeburgereiland,52.34820726876193,5.004596283198363,Entire home/apt,95,333,2,10,0.5,31
13277635,Westerpark,52.385197163190796,4.871373898280652,Entire home/apt,104,,2,2,0.07,0
13277742,Zuid,52.35285416358053,4.853261099466211,Private room,50,343,1,9,0.33,0
13278847,De Baarsjes - Oud-West,52.36091030459639,4.8678602969575575,Entire home/apt,275,361,3,16,0.53,0
13280367,Gaasperdam - Driemond,52.29852761,4.974107738777591,Shared room,55,,2,21,0.69,0
13284630,De Pijp - Rivierenbuurt,52.34858726088171,4.895001324628022,Private room,79,19,2,42,1.38,280
13285468,De Baarsjes - Oud-West,52.36438359,4.864191022990835,Entire home/apt,150,,2,6,0.2,0
13285687,Watergraafsmeer,52.356991705053865,4.936711989940171,Entire home/apt,118,,2,2,0.07,0
13285822,Buitenveldert - Zuidas,52.33513562222118,4.872509096151866,Entire home/apt,120,,6,4,0.14,0
13285911,De Baarsjes - Oud-West,52.36174427827535,4.856129593512216,Entire home/apt,110,,2,19,0.64,0
13285919,IJburg - Zeeburgereiland,52.34955119225204,5.010955329344746,Entire home/apt,175,354,3,6,0.21,10
13287429,Zuid,52.35247932158453,4.878855777448009,Entire home/apt,220,,7,0,,25
13287615,Bos en Lommer,52.37688444429705,4.860880485598235,Entire home/apt,120,,1,1,0.03,0
13289321,Oud-Oost,52.35728185,4.920517114707171,Entire home/apt,110,,2,13,0.44,0
13289721,Oostelijk Havengebied - Indische Buurt,52.362200184023244,4.942775449422704,Entire home/apt,99,,3,14,0.47,0
13289822,Gaasperdam - Driemond,52.29030763937931,4.978471340585089,Private room,75,296,1,27,1.33,179
13290113,Osdorp,52.35151171,4.794439107652673,Entire home/apt,125,,3,2,0.07,0
13291327,Zuid,52.34764324536506,4.850151023428883,Entire home/apt,220,338,2,41,1.44,0
13292373,De Pijp - Rivierenbuurt,52.35286242272941,4.893638539860339,Private room,79,,1,6,0.2,0
13292640,Oud-Noord,52.39037717810518,4.9418524067887555,Entire home/apt,100,,2,1,0.04,0
13293783,Noord-Oost,52.397036775184716,4.933106953430053,Private room,55,,2,0,,7
13294032,Zuid,52.35901761756614,4.876696989583705,Private room,90,,2,8,0.3,0
13294936,De Baarsjes - Oud-West,52.373259268179474,4.852654296783755,Entire home/apt,250,,3,8,0.27,10
13295511,Centrum-Oost,52.36133783108093,4.908464524409318,Entire home/apt,99,362,3,10,0.34,0
13295770,Centrum-Oost,52.36381338020988,4.884074359251775,Private room,99,,2,3,0.1,0
13296926,Oud-Oost,52.35742680303015,4.918478723923184,Entire home/apt,120,353,4,17,0.56,6
13296943,Centrum-Oost,52.36527331076621,4.901425302114936,Entire home/apt,188,,2,1,0.03,0
13302853,Oostelijk Havengebied - Indische Buurt,52.371463779483044,4.943696459230756,Entire home/apt,350,,3,7,0.24,40
13303022,De Baarsjes - Oud-West,52.36071021755691,4.861333453072135,Entire home/apt,67,,3,25,0.83,0
13303591,Oud-Noord,52.38749818586847,4.917940379297487,Private room,90,,2,19,0.63,0
13304281,Oud-Noord,52.39887106836457,4.912818300612517,Private room,60,337,3,87,3.25,24
13304336,De Baarsjes - Oud-West,52.36088264558365,4.8655367191909615,Entire home/apt,130,348,3,14,0.47,85
13304765,De Pijp - Rivierenbuurt,52.35054935934232,4.892608070175847,Private room,65,111,2,240,8.38,52
13304844,Westerpark,52.388619546656855,4.886121584458132,Entire home/apt,260,,2,6,0.2,0
13305534,Oostelijk Havengebied - Indische Buurt,52.36134992321126,4.933035195964943,Entire home/apt,109,,4,1,0.09,0
